Timestamp,Milliseconds,X,Y,Z
2020-05-25 16:03:58,2,-3.375,28.3125,-55.125
2020-05-25 16:03:58,101,-6.0,28.6875,-53.9375
2020-05-25 16:03:58,202,-6.375,26.8125,-55.5625
2020-05-25 16:03:58,301,-6.0,28.3125,-55.125
2020-05-25 16:03:58,401,-6.375,27.9375,-55.125
2020-05-25 16:03:58,501,-6.0,29.0625,-55.125
2020-05-25 16:03:58,601,-6.375,27.1875,-55.5625
2020-05-25 16:03:58,702,-6.75,27.9375,-54.75
2020-05-25 16:03:59,801,-6.375,28.3125,-54.75
2020-05-25 16:03:59,901,-5.625,27.5625,-54.75
2020-05-25 16:03:59,1001,-3.75,27.9375,-54.3125
2020-05-25 16:03:59,1101,-5.25,28.3125,-55.1875
2020-05-25 16:03:59,1201,-5.625,28.3125,-55.5625
2020-05-25 16:03:59,1302,-5.25,28.3125,-55.5625
2020-05-25 16:03:59,1401,-5.25,28.6875,-55.5625
2020-05-25 16:03:59,1501,-4.875,28.3125,-54.75
2020-05-25 16:03:59,1601,-4.5,28.3125,-56.8125
2020-05-25 16:03:59,1701,-4.5,28.6875,-55.1875
2020-05-25 16:04:00,1802,-4.125,28.6875,-54.75
2020-05-25 16:04:00,1901,-4.125,27.9375,-54.75
2020-05-25 16:04:00,2001,-5.25,28.3125,-55.1875
2020-05-25 16:04:00,2102,-4.125,28.3125,-53.9375
2020-05-25 16:04:00,2202,-4.5,28.6875,-53.9375
2020-05-25 16:04:00,2301,-4.5,28.3125,-54.75
2020-05-25 16:04:00,2402,-4.875,28.6875,-53.9375
2020-05-25 16:04:00,2501,-4.875,28.6875,-54.75
2020-05-25 16:04:00,2601,-5.25,28.6875,-53.9375
2020-05-25 16:04:00,2702,-4.125,28.6875,-55.1875
2020-05-25 16:04:01,2801,-5.625,28.3125,-55.125
2020-05-25 16:04:01,2901,-4.875,29.0625,-55.1875
2020-05-25 16:04:01,3001,-4.5,29.0625,-55.5625
2020-05-25 16:04:01,3102,-4.125,28.6875,-54.375
2020-05-25 16:04:01,3201,-4.125,28.6875,-55.5625
2020-05-25 16:04:01,3302,-3.75,29.0625,-54.75
2020-05-25 16:04:01,3401,-4.5,28.3125,-56.0
2020-05-25 16:04:01,3501,-4.5,29.4375,-56.0
2020-05-25 16:04:01,3601,-3.75,28.3125,-54.375
2020-05-25 16:04:01,3702,-4.5,29.4375,-54.375
2020-05-25 16:04:02,3802,-4.125,27.1875,-55.1875
2020-05-25 16:04:02,3901,-2.625,29.0625,-55.1875
2020-05-25 16:04:02,4001,-3.75,28.3125,-54.75
2020-05-25 16:04:02,4101,-5.25,29.4375,-56.0
2020-05-25 16:04:02,4201,-5.625,30.5625,-54.75
2020-05-25 16:04:02,4301,-11.625,25.6875,-53.125
2020-05-25 16:04:02,4402,-20.1875,5.1875,-45.3125
2020-05-25 16:04:02,4501,-16.8125,-31.6875,-14.875
2020-05-25 16:04:02,4601,-9.0,-37.3125,-5.4375
2020-05-25 16:04:02,4702,-36.1875,2.25,-31.3125
2020-05-25 16:04:03,4802,-30.25,-19.0,-19.8125
2020-05-25 16:04:03,4901,-11.25,-36.9375,-4.1875
2020-05-25 16:04:03,5002,-4.125,-38.0625,4.8125
2020-05-25 16:04:03,5101,-39.9375,5.5625,-27.1875
2020-05-25 16:04:03,5202,-31.75,-17.1875,-19.0
2020-05-25 16:04:03,5301,-13.0625,-36.5625,-2.5625
2020-05-25 16:04:03,5402,-5.25,-37.3125,3.625
2020-05-25 16:04:03,5501,-38.8125,16.75,-35.4375
2020-05-25 16:04:03,5601,-34.6875,-10.0625,-22.6875
2020-05-25 16:04:03,5702,-19.8125,-32.0625,-6.25
2020-05-25 16:04:04,5801,-11.625,-37.3125,0.3125
2020-05-25 16:04:04,5901,-42.1875,28.6875,-31.75
2020-05-25 16:04:04,6001,-39.1875,13.4375,-32.9375
2020-05-25 16:04:04,6102,-31.75,14.5,-41.1875
2020-05-25 16:04:04,6201,-23.125,21.25,-50.25
2020-05-25 16:04:04,6301,-16.8125,26.8125,-51.875
2020-05-25 16:04:04,6401,-14.5625,28.3125,-51.875
2020-05-25 16:04:04,6502,-12.375,30.1875,-52.3125
2020-05-25 16:04:04,6601,-12.375,30.5625,-53.125
2020-05-25 16:04:04,6701,-10.875,30.9375,-53.125
2020-05-25 16:04:05,6801,-11.625,30.1875,-54.375
2020-05-25 16:04:05,6901,-11.25,31.3125,-52.75
2020-05-25 16:04:05,7001,-12.375,31.6875,-52.3125
2020-05-25 16:04:05,7101,-11.25,31.3125,-52.75
2020-05-25 16:04:05,7202,-11.625,31.3125,-52.75
2020-05-25 16:04:05,7301,-11.25,30.5625,-52.3125
2020-05-25 16:04:05,7401,-11.25,32.0625,-52.75
2020-05-25 16:04:05,7501,-10.875,30.9375,-53.125
2020-05-25 16:04:05,7602,-10.5,32.0625,-53.9375
2020-05-25 16:04:05,7702,-10.875,31.6875,-52.75
2020-05-25 16:04:06,7801,-11.625,30.9375,-54.8125
2020-05-25 16:04:06,7901,-11.25,30.9375,-53.5625
2020-05-25 16:04:06,8001,-10.875,32.0625,-52.75
2020-05-25 16:04:06,8101,-9.75,32.0625,-53.125
2020-05-25 16:04:06,8201,-10.875,31.6875,-52.3125
