Timestamp,Milliseconds,X,Y,Z
2020-06-01 18:09:04,1,-15.3125,-29.375,-8.0
2020-06-01 18:09:04,102,-15.6875,-29.375,-8.375
2020-06-01 18:09:04,201,-15.6875,-29.0,-8.0
2020-06-01 18:09:04,301,-16.0625,-29.75,-9.1875
2020-06-01 18:09:04,402,-14.5625,-29.75,-7.5625
2020-06-01 18:09:04,501,-15.3125,-29.75,-8.0
2020-06-01 18:09:04,601,-13.0625,-29.75,-8.0
2020-06-01 18:09:04,701,-14.9375,-30.125,-8.8125
2020-06-01 18:09:04,801,-15.3125,-28.625,-8.8125
2020-06-01 18:09:04,901,-14.1875,-29.0,-8.0
2020-06-01 18:09:05,1001,-14.5625,-29.75,-8.375
2020-06-01 18:09:05,1101,-14.9375,-29.75,-9.625
2020-06-01 18:09:05,1201,-13.8125,-28.625,-8.0
2020-06-01 18:09:05,1301,-13.0625,-28.625,-9.1875
2020-06-01 18:09:05,1402,-14.5625,-29.0,-8.0
2020-06-01 18:09:05,1501,-14.5625,-29.0,-8.8125
2020-06-01 18:09:05,1601,-13.0625,-29.75,-7.5625
2020-06-01 18:09:05,1701,-14.9375,-29.0,-8.0
2020-06-01 18:09:05,1802,-14.5625,-29.75,-8.0
2020-06-01 18:09:05,1901,-14.5625,-29.0,-8.8125
2020-06-01 18:09:06,2001,-13.0625,-28.625,-7.1875
2020-06-01 18:09:06,2101,-15.3125,-29.375,-8.0
2020-06-01 18:09:06,2201,-13.0625,-29.0,-8.375
2020-06-01 18:09:06,2301,-14.5625,-29.375,-8.0
2020-06-01 18:09:06,2401,-13.8125,-28.625,-8.375
2020-06-01 18:09:06,2502,-14.1875,-29.0,-7.5625
2020-06-01 18:09:06,2602,-14.1875,-28.625,-8.0
2020-06-01 18:09:06,2702,-13.8125,-29.0,-9.625
2020-06-01 18:09:06,2802,-13.4375,-29.75,-8.375
2020-06-01 18:09:06,2901,-13.0625,-29.375,-8.0
2020-06-01 18:09:07,3002,-14.9375,-29.375,-8.0
2020-06-01 18:09:07,3102,-12.375,-29.0,-8.8125
2020-06-01 18:09:07,3201,-14.5625,-29.0,-8.0
2020-06-01 18:09:07,3301,-14.9375,-29.375,-8.375
2020-06-01 18:09:07,3402,-13.0625,-29.0,-8.0
2020-06-01 18:09:07,3502,-14.5625,-30.5,-7.5625
2020-06-01 18:09:07,3601,-11.25,-28.625,-8.375
2020-06-01 18:09:07,3701,-13.4375,-29.375,-9.1875
2020-06-01 18:09:07,3802,-14.1875,-29.0,-8.8125
2020-06-01 18:09:07,3901,-14.9375,-29.0,-8.0
2020-06-01 18:09:08,4002,-14.9375,-30.125,-9.625
2020-06-01 18:09:08,4101,-15.3125,-29.0,-8.375
2020-06-01 18:09:08,4202,-14.5625,-29.0,-9.625
2020-06-01 18:09:08,4301,-12.6875,-29.75,-9.1875
2020-06-01 18:09:08,4402,-14.5625,-29.0,-8.8125
2020-06-01 18:09:08,4501,-14.5625,-29.75,-8.375
2020-06-01 18:09:08,4602,-15.3125,-28.625,-8.0
2020-06-01 18:09:08,4701,-14.9375,-29.0,-7.5625
2020-06-01 18:09:08,4801,-13.8125,-30.125,-8.375
2020-06-01 18:09:08,4902,-15.3125,-29.375,-8.8125
2020-06-01 18:09:09,5002,-13.0625,-28.625,-8.8125
2020-06-01 18:09:09,5101,-14.9375,-29.375,-8.0
2020-06-01 18:09:09,5201,-16.0625,-29.0,-9.1875
2020-06-01 18:09:09,5301,-14.1875,-29.375,-8.8125
2020-06-01 18:09:09,5401,-13.8125,-29.75,-8.0
2020-06-01 18:09:09,5501,-13.8125,-28.25,-9.1875
2020-06-01 18:09:09,5602,-14.1875,-28.625,-9.1875
2020-06-01 18:09:09,5701,-14.1875,-29.0,-9.1875
2020-06-01 18:09:09,5801,-14.5625,-29.375,-8.375
2020-06-01 18:09:09,5902,-14.9375,-28.625,-7.5625
2020-06-01 18:09:10,6002,-13.8125,-28.625,-7.5625
2020-06-01 18:09:10,6101,-14.5625,-28.25,-7.5625
2020-06-01 18:09:10,6202,-14.5625,-29.375,-7.1875
2020-06-01 18:09:10,6301,-13.8125,-28.625,-7.5625
2020-06-01 18:09:10,6401,-12.6875,-29.375,-7.5625
2020-06-01 18:09:10,6501,-14.1875,-29.375,-7.5625
2020-06-01 18:09:10,6601,-14.5625,-29.0,-9.1875
2020-06-01 18:09:10,6702,-13.8125,-28.625,-8.8125
2020-06-01 18:09:10,6801,-14.9375,-28.25,-7.5625
2020-06-01 18:09:10,6902,-14.5625,-29.75,-8.8125
2020-06-01 18:09:11,7002,-13.8125,-29.0,-8.0
2020-06-01 18:09:11,7102,-13.0625,-29.375,-8.8125
2020-06-01 18:09:11,7201,-14.5625,-28.625,-7.5625
2020-06-01 18:09:11,7301,-14.9375,-28.625,-8.0
2020-06-01 18:09:11,7401,-14.9375,-28.625,-6.75
2020-06-01 18:09:11,7501,-14.5625,-28.625,-8.8125
2020-06-01 18:09:11,7601,-15.6875,-29.0,-8.0
2020-06-01 18:09:11,7703,-14.5625,-29.0,-10.0
2020-06-01 18:09:11,7801,-13.4375,-29.375,-11.625
2020-06-01 18:09:11,7902,-12.375,-28.25,-12.0625
2020-06-01 18:09:12,8001,-13.4375,-28.625,-13.25
2020-06-01 18:09:12,8101,-12.375,-27.1875,-13.6875
2020-06-01 18:09:12,8202,-11.625,-28.25,-15.25
2020-06-01 18:09:12,8301,-10.5,-27.875,-16.875
2020-06-01 18:09:12,8402,-8.25,-27.5625,-15.6875
2020-06-01 18:09:12,8502,-8.25,-26.8125,-18.9375
2020-06-01 18:09:12,8601,-6.75,-27.1875,-18.5
2020-06-01 18:09:12,8702,-7.5,-27.5625,-19.3125
2020-06-01 18:09:12,8801,-7.125,-26.8125,-18.5
2020-06-01 18:09:12,8902,-6.375,-28.25,-19.3125
2020-06-01 18:09:13,9001,-3.75,-27.5625,-18.9375
2020-06-01 18:09:13,9101,-4.125,-27.5625,-18.125
2020-06-01 18:09:13,9202,-4.875,-28.625,-18.125
2020-06-01 18:09:13,9301,-4.125,-29.375,-18.125
2020-06-01 18:09:13,9401,-5.25,-29.75,-18.125
2020-06-01 18:09:13,9501,-4.5,-29.0,-17.3125
2020-06-01 18:09:13,9602,-4.5,-30.5,-17.6875
2020-06-01 18:09:13,9701,-4.125,-29.375,-18.9375
2020-06-01 18:09:13,9801,-2.3125,-30.125,-17.3125
2020-06-01 18:09:13,9901,-2.6875,-30.5,-16.875
2020-06-01 18:09:14,10002,-2.6875,-29.75,-18.125
2020-06-01 18:09:14,10101,-2.3125,-29.75,-17.6875
2020-06-01 18:09:14,10202,-2.3125,-30.875,-17.3125
2020-06-01 18:09:14,10302,1.0625,-30.875,-14.4375
2020-06-01 18:09:14,10401,2.9375,-30.5,-14.4375
2020-06-01 18:09:14,10502,4.8125,-30.5,-13.6875
2020-06-01 18:09:14,10601,4.8125,-31.25,-11.625
2020-06-01 18:09:14,10701,4.75,-31.25,-12.4375
2020-06-01 18:09:14,10802,5.5,-30.5,-12.0625
2020-06-01 18:09:14,10901,6.625,-30.875,-12.4375
2020-06-01 18:09:15,11001,4.4375,-30.5,-12.4375
2020-06-01 18:09:15,11101,4.4375,-30.5,-12.0625
2020-06-01 18:09:15,11202,2.1875,-31.625,-12.4375
2020-06-01 18:09:15,11301,2.9375,-31.625,-12.0625
2020-06-01 18:09:15,11401,3.3125,-30.125,-10.8125
2020-06-01 18:09:15,11502,0.3125,-30.875,-13.25
2020-06-01 18:09:15,11602,-0.0625,-30.5,-12.4375
2020-06-01 18:09:15,11701,0.3125,-30.875,-12.4375
2020-06-01 18:09:15,11802,1.0625,-30.875,-12.875
2020-06-01 18:09:15,11901,1.0625,-31.625,-13.25
2020-06-01 18:09:16,12001,2.9375,-30.5,-11.625
2020-06-01 18:09:16,12102,1.8125,-31.25,-11.625
2020-06-01 18:09:16,12202,3.3125,-30.875,-11.625
2020-06-01 18:09:16,12301,1.8125,-31.625,-12.0625
2020-06-01 18:09:16,12402,1.4375,-31.25,-12.875
2020-06-01 18:09:16,12501,1.8125,-31.25,-12.875
2020-06-01 18:09:16,12602,1.8125,-31.25,-11.625
2020-06-01 18:09:16,12701,1.4375,-32.0,-11.625
2020-06-01 18:09:16,12802,1.8125,-31.25,-11.625
2020-06-01 18:09:16,12902,3.3125,-30.875,-13.25
2020-06-01 18:09:17,13001,0.6875,-31.625,-12.875
2020-06-01 18:09:17,13101,2.9375,-30.875,-11.625
2020-06-01 18:09:17,13201,0.6875,-30.875,-12.0625
2020-06-01 18:09:17,13302,2.9375,-31.625,-12.0625
2020-06-01 18:09:17,13401,1.0625,-31.625,-12.875
2020-06-01 18:09:17,13501,1.8125,-31.625,-12.875
2020-06-01 18:09:17,13602,1.8125,-31.625,-11.25
2020-06-01 18:09:17,13701,4.0625,-30.875,-11.25
2020-06-01 18:09:17,13801,4.0625,-31.625,-11.25
2020-06-01 18:09:17,13902,4.4375,-30.875,-10.8125
2020-06-01 18:09:18,14001,5.5,-31.625,-11.25
2020-06-01 18:09:18,14101,6.625,-30.5,-10.0
2020-06-01 18:09:18,14202,5.5,-30.125,-11.25
2020-06-01 18:09:18,14301,7.375,-30.125,-9.625
2020-06-01 18:09:18,14402,7.375,-30.125,-11.25
2020-06-01 18:09:18,14501,6.25,-29.0,-10.4375
2020-06-01 18:09:18,14601,6.625,-29.75,-9.1875
2020-06-01 18:09:18,14702,5.125,-29.375,-9.1875
2020-06-01 18:09:18,14801,4.0625,-29.375,-12.0625
2020-06-01 18:09:18,14901,2.1875,-29.0,-13.25
2020-06-01 18:09:19,15002,1.4375,-28.625,-12.4375
2020-06-01 18:09:19,15101,0.3125,-29.375,-13.25
2020-06-01 18:09:19,15201,0.6875,-29.75,-13.25
2020-06-01 18:09:19,15301,-0.8125,-29.375,-14.875
2020-06-01 18:09:19,15402,-1.1875,-28.25,-12.875
2020-06-01 18:09:19,15502,-1.5625,-28.625,-13.25
2020-06-01 18:09:19,15601,-6.0,-29.375,-12.875
2020-06-01 18:09:19,15701,-5.625,-29.0,-12.0625
2020-06-01 18:09:19,15802,-9.375,-29.0,-12.875
2020-06-01 18:09:19,15901,-8.625,-28.625,-12.4375
2020-06-01 18:09:20,16001,-11.25,-28.625,-11.25
2020-06-01 18:09:20,16101,-9.75,-27.5,-10.0
2020-06-01 18:09:20,16202,-10.5,-28.625,-9.625
2020-06-01 18:09:20,16301,-13.4375,-28.25,-10.0
2020-06-01 18:09:20,16402,-12.375,-28.625,-8.375
2020-06-01 18:09:20,16502,-13.0625,-28.625,-7.1875
2020-06-01 18:09:20,16602,-14.1875,-28.625,-6.375
2020-06-01 18:09:20,16701,-16.0625,-28.625,-6.375
2020-06-01 18:09:20,16802,-15.6875,-27.875,-5.5625
2020-06-01 18:09:20,16902,-15.6875,-27.875,-4.6875
2020-06-01 18:09:21,17001,-14.9375,-27.5,-4.6875
2020-06-01 18:09:21,17101,-15.3125,-27.875,-5.125
2020-06-01 18:09:21,17202,-16.0625,-27.875,-3.0625
2020-06-01 18:09:21,17301,-16.4375,-26.8125,-3.0625
2020-06-01 18:09:21,17402,-17.9375,-26.8125,-1.4375
2020-06-01 18:09:21,17501,-17.9375,-26.8125,-2.6875
2020-06-01 18:09:21,17601,-18.3125,-26.4375,-3.5
2020-06-01 18:09:21,17701,-17.9375,-25.3125,-3.5
2020-06-01 18:09:21,17802,-16.0625,-25.6875,-4.3125
2020-06-01 18:09:21,17902,-17.9375,-24.5625,-5.5625
2020-06-01 18:09:22,18001,-18.3125,-24.5625,-6.375
2020-06-01 18:09:22,18101,-17.5625,-25.3125,-8.8125
2020-06-01 18:09:22,18202,-18.3125,-24.9375,-9.1875
2020-06-01 18:09:22,18301,-16.0625,-25.3125,-10.4375
2020-06-01 18:09:22,18402,-16.4375,-25.6875,-12.0625
2020-06-01 18:09:22,18501,-15.6875,-24.9375,-12.875
2020-06-01 18:09:22,18602,-14.1875,-24.5625,-13.6875
2020-06-01 18:09:22,18702,-15.6875,-24.5625,-14.0625
2020-06-01 18:09:22,18802,-14.1875,-24.5625,-14.0625
2020-06-01 18:09:22,18902,-15.6875,-24.9375,-12.4375
2020-06-01 18:09:23,19002,-15.6875,-24.1875,-13.25
2020-06-01 18:09:23,19101,-16.8125,-24.1875,-13.25
2020-06-01 18:09:23,19202,-17.5625,-24.9375,-13.6875
2020-06-01 18:09:23,19301,-16.8125,-24.9375,-14.875
2020-06-01 18:09:23,19402,-14.9375,-24.5625,-12.875
2020-06-01 18:09:23,19501,-15.6875,-24.1875,-12.875
2020-06-01 18:09:23,19602,-17.1875,-24.5625,-12.875
2020-06-01 18:09:23,19701,-15.3125,-25.3125,-13.6875
2020-06-01 18:09:23,19801,-14.9375,-24.9375,-12.875
2020-06-01 18:09:23,19901,-15.3125,-25.3125,-13.6875
2020-06-01 18:09:24,20002,-16.4375,-24.1875,-14.4375
2020-06-01 18:09:24,20101,-16.4375,-24.5625,-14.0625
2020-06-01 18:09:24,20201,-17.1875,-24.1875,-14.875
2020-06-01 18:09:24,20302,-17.5625,-24.9375,-13.6875
2020-06-01 18:09:24,20402,-17.1875,-24.1875,-12.875
2020-06-01 18:09:24,20501,-16.0625,-23.4375,-13.6875
2020-06-01 18:09:24,20602,-17.9375,-23.8125,-14.875
2020-06-01 18:09:24,20701,-18.3125,-24.1875,-12.4375
2020-06-01 18:09:24,20802,-15.6875,-22.3125,-13.25
2020-06-01 18:09:24,20901,-15.6875,-23.8125,-13.6875
2020-06-01 18:09:25,21001,-17.1875,-24.5625,-14.4375
2020-06-01 18:09:25,21101,-16.4375,-23.0625,-12.875
2020-06-01 18:09:25,21202,-17.9375,-23.8125,-14.0625
2020-06-01 18:09:25,21301,-17.9375,-23.8125,-14.4375
2020-06-01 18:09:25,21401,-15.6875,-23.8125,-13.6875
2020-06-01 18:09:25,21502,-16.4375,-23.0625,-13.6875
2020-06-01 18:09:25,21601,-17.1875,-23.8125,-14.4375
2020-06-01 18:09:25,21702,-17.9375,-24.1875,-13.6875
2020-06-01 18:09:25,21801,-17.1875,-23.8125,-14.875
2020-06-01 18:09:25,21901,-16.4375,-23.8125,-14.4375
2020-06-01 18:09:26,22002,-16.0625,-23.4375,-12.4375
2020-06-01 18:09:26,22101,-16.0625,-24.1875,-13.6875
2020-06-01 18:09:26,22202,-15.6875,-23.8125,-14.0625
2020-06-01 18:09:26,22302,-16.0625,-23.8125,-14.4375
2020-06-01 18:09:26,22402,-14.9375,-22.6875,-14.875
2020-06-01 18:09:26,22501,-16.8125,-23.0625,-12.875
2020-06-01 18:09:26,22602,-18.6875,-23.0625,-14.4375
2020-06-01 18:09:26,22701,-18.6875,-22.6875,-13.6875
2020-06-01 18:09:26,22801,-19.4375,-23.0625,-14.875
2020-06-01 18:09:26,22902,-19.0625,-23.0625,-14.4375
2020-06-01 18:09:27,23001,-18.6875,-23.0625,-14.875
2020-06-01 18:09:27,23102,-18.3125,-23.0625,-14.875
2020-06-01 18:09:27,23201,-19.4375,-22.6875,-15.25
2020-06-01 18:09:27,23301,-19.8125,-22.3125,-14.4375
2020-06-01 18:09:27,23402,-19.0625,-23.8125,-14.0625
2020-06-01 18:09:27,23501,-18.3125,-22.6875,-13.25
2020-06-01 18:09:27,23601,-19.8125,-23.0625,-12.875
2020-06-01 18:09:27,23702,-20.1875,-22.3125,-12.4375
2020-06-01 18:09:27,23801,-20.1875,-22.6875,-12.4375
2020-06-01 18:09:27,23901,-21.25,-21.9375,-11.25
2020-06-01 18:09:28,24001,-20.1875,-21.9375,-12.4375
2020-06-01 18:09:28,24102,-20.1875,-21.9375,-11.25
2020-06-01 18:09:28,24201,-19.8125,-21.9375,-10.8125
2020-06-01 18:09:28,24302,-20.5625,-21.9375,-8.8125
2020-06-01 18:09:28,24401,-23.125,-22.3125,-7.1875
2020-06-01 18:09:28,24501,-22.0,-21.5625,-6.75
2020-06-01 18:09:28,24601,-22.375,-21.1875,-4.3125
2020-06-01 18:09:28,24702,-23.125,-22.3125,-2.6875
2020-06-01 18:09:28,24801,-23.125,-22.3125,-1.0625
2020-06-01 18:09:28,24902,-24.25,-21.5625,0.1875
2020-06-01 18:09:29,25001,-23.875,-21.1875,0.5625
2020-06-01 18:09:29,25101,-23.5,-20.8125,2.1875
2020-06-01 18:09:29,25201,-25.0,-20.0625,4.25
2020-06-01 18:09:29,25302,-25.75,-18.5625,4.25
2020-06-01 18:09:29,25402,-24.25,-18.9375,7.125
2020-06-01 18:09:29,25502,-23.875,-18.1875,7.5
2020-06-01 18:09:29,25602,-24.25,-18.25,7.125
2020-06-01 18:09:29,25701,-25.0,-17.875,7.9375
2020-06-01 18:09:29,25801,-24.625,-17.5,9.125
2020-06-01 18:09:29,25902,-25.0,-17.5,10.75
2020-06-01 18:09:30,26002,-24.625,-17.125,12.375
2020-06-01 18:09:30,26102,-23.875,-16.0,13.1875
2020-06-01 18:09:30,26201,-24.25,-15.625,13.1875
2020-06-01 18:09:30,26301,-24.25,-14.5,13.1875
2020-06-01 18:09:30,26402,-23.875,-14.125,15.25
2020-06-01 18:09:30,26501,-23.875,-13.75,15.625
2020-06-01 18:09:30,26601,-23.125,-13.375,17.6875
2020-06-01 18:09:30,26701,-23.5,-13.75,16.0625
2020-06-01 18:09:30,26802,-23.125,-13.0,17.3125
2020-06-01 18:09:30,26901,-23.5,-13.375,15.25
2020-06-01 18:09:31,27001,-23.5,-13.375,16.4375
2020-06-01 18:09:31,27102,-21.625,-14.125,15.25
2020-06-01 18:09:31,27201,-22.75,-15.625,14.4375
2020-06-01 18:09:31,27302,-21.625,-17.875,15.25
2020-06-01 18:09:31,27402,-19.4375,-18.9375,16.875
2020-06-01 18:09:31,27501,-15.3125,-18.5625,17.3125
2020-06-01 18:09:31,27602,-13.8125,-15.625,18.875
2020-06-01 18:09:31,27701,-13.8125,-15.25,19.75
2020-06-01 18:09:31,27802,-14.9375,-15.625,20.125
2020-06-01 18:09:31,27901,-16.0625,-15.25,20.9375
2020-06-01 18:09:32,28001,-16.4375,-15.625,20.5625
2020-06-01 18:09:32,28101,-16.0625,-14.125,20.9375
2020-06-01 18:09:32,28202,-17.5625,-15.25,18.9375
2020-06-01 18:09:32,28301,-16.8125,-16.375,19.3125
2020-06-01 18:09:32,28401,-15.6875,-14.875,20.9375
2020-06-01 18:09:32,28501,-17.5625,-15.625,20.125
2020-06-01 18:09:32,28602,-15.3125,-15.625,20.9375
2020-06-01 18:09:32,28701,-14.5625,-16.375,22.5625
2020-06-01 18:09:32,28801,-13.4375,-16.0,23.0
2020-06-01 18:09:32,28902,-11.625,-14.875,23.375
2020-06-01 18:09:33,29001,-11.625,-15.25,23.375
2020-06-01 18:09:33,29101,-11.625,-16.0,24.1875
2020-06-01 18:09:33,29201,-10.875,-15.625,23.0
2020-06-01 18:09:33,29302,-11.25,-14.125,26.25
2020-06-01 18:09:33,29401,-10.875,-14.5,23.8125
2020-06-01 18:09:33,29501,-10.125,-14.125,25.4375
2020-06-01 18:09:33,29601,-8.625,-13.375,25.8125
2020-06-01 18:09:33,29702,-7.5,-13.75,27.0625
2020-06-01 18:09:33,29801,-9.75,-14.125,26.625
2020-06-01 18:09:33,29902,-8.25,-12.25,25.8125
2020-06-01 18:09:34,30001,-9.0,-13.0,27.0625
2020-06-01 18:09:34,30101,-10.875,-13.75,25.8125
2020-06-01 18:09:34,30201,-9.75,-11.875,26.625
2020-06-01 18:09:34,30302,-13.0625,-12.25,26.625
2020-06-01 18:09:34,30401,-13.4375,-12.625,24.625
2020-06-01 18:09:34,30502,-14.9375,-13.375,25.4375
2020-06-01 18:09:34,30602,-15.3125,-13.0,23.375
2020-06-01 18:09:34,30701,-16.8125,-13.375,23.0
2020-06-01 18:09:34,30802,-17.9375,-13.375,21.75
2020-06-01 18:09:34,30901,-17.9375,-14.5,22.1875
2020-06-01 18:09:35,31001,-18.6875,-14.125,21.375
2020-06-01 18:09:35,31101,-18.3125,-13.75,22.5625
2020-06-01 18:09:35,31201,-20.1875,-16.375,21.375
2020-06-01 18:09:35,31301,-17.1875,-14.875,20.5625
2020-06-01 18:09:35,31401,-17.1875,-16.375,21.75
2020-06-01 18:09:35,31502,-17.9375,-15.625,21.75
2020-06-01 18:09:35,31601,-15.6875,-15.625,23.8125
2020-06-01 18:09:35,31702,-13.8125,-15.625,25.8125
2020-06-01 18:09:35,31801,-12.6875,-14.125,26.625
2020-06-01 18:09:35,31901,-13.4375,-14.875,26.625
2020-06-01 18:09:36,32001,-13.8125,-14.5,26.625
2020-06-01 18:09:36,32102,-13.0625,-13.0,27.4375
2020-06-01 18:09:36,32201,-12.6875,-14.875,27.875
2020-06-01 18:09:36,32302,-13.4375,-14.5,27.0625
2020-06-01 18:09:36,32401,-12.6875,-13.0,27.875
2020-06-01 18:09:36,32501,-11.625,-13.375,27.875
2020-06-01 18:09:36,32602,-10.125,-13.0,28.6875
2020-06-01 18:09:36,32701,-9.75,-15.25,28.25
2020-06-01 18:09:36,32802,-9.75,-13.75,27.875
2020-06-01 18:09:36,32901,-10.5,-13.375,29.0625
2020-06-01 18:09:37,33002,-10.125,-14.5,27.4375
2020-06-01 18:09:37,33101,-10.875,-13.0,26.625
2020-06-01 18:09:37,33201,-10.125,-13.375,27.875
2020-06-01 18:09:37,33302,-10.5,-14.125,27.5
2020-06-01 18:09:37,33401,-10.875,-14.125,27.5
2020-06-01 18:09:37,33502,-11.25,-14.125,27.875
2020-06-01 18:09:37,33601,-11.25,-14.875,26.625
2020-06-01 18:09:37,33701,-11.625,-14.125,27.0625
2020-06-01 18:09:37,33802,-11.625,-14.5,26.25
2020-06-01 18:09:37,33901,-10.875,-14.875,26.25
2020-06-01 18:09:38,34001,-11.625,-14.125,27.875
2020-06-01 18:09:38,34101,-11.25,-14.5,25.4375
2020-06-01 18:09:38,34202,-12.0,-15.25,28.6875
2020-06-01 18:09:38,34301,-10.5,-14.875,27.875
2020-06-01 18:09:38,34401,-9.75,-15.625,27.5
2020-06-01 18:09:38,34502,-10.875,-14.875,28.3125
